Date,FX Vol,VIX,IG Spreads (US),Z FX Vol,Z VIX,Z IG Spreads,SPX
3/26/2001,12.625,29.04,177,0.967644851,1.08599487,0.204130955,1152.69
3/27/2001,12.65,27.04,178,0.976715504,0.856216037,0.215763998,1182.17
3/28/2001,12.75,28.58,177,1.012998117,1.033145738,0.204130955,1153.29
3/29/2001,13.275,29.17,178,1.203481831,1.100930494,0.215763998,1147.95
3/30/2001,13.125,28.64,178,1.149057913,1.040039103,0.215763998,1160.33
4/2/2001,13.3,31.21,181,1.212552484,1.335304904,0.250663127,1145.87
4/3/2001,13.025,34.72,180,1.112775301,1.738566755,0.239030084,1106.46
4/4/2001,13.1125,34.07,180,1.144522586,1.663888635,0.239030084,1103.25
4/5/2001,13.15,29.94,182,1.158128566,1.189395345,0.26229617,1151.44
4/6/2001,12.825,31.69,183,1.040210076,1.390451823,0.273929213,1128.43
4/9/2001,12.7,31.91,182,0.994856811,1.415727495,0.26229617,1137.59
4/10/2001,12.5875,29.44,181,0.954038872,1.131950636,0.250663127,1168.38
4/11/2001,11.95,28.46,180,0.722737218,1.019359008,0.239030084,1165.89
4/12/2001,11.6375,26.12,179,0.609354055,0.750517774,0.227397041,1183.5
4/16/2001,11.975,26.33,180,0.731807871,0.774644551,0.239030084,1179.68
4/17/2001,12.2625,25.61,177,0.836120382,0.691924172,0.204130955,1191.81
4/18/2001,12.4875,24.13,175,0.917756259,0.521887835,0.180864869,1238.16
4/19/2001,12.15,24.16,174,0.795302443,0.525334518,0.169231826,1253.7
4/20/2001,12.125,25.38,176,0.78623179,0.665499606,0.192497912,1242.98
4/23/2001,12.275,28.16,175,0.840655708,0.984892183,0.180864869,1224.36
4/24/2001,12.2875,28.49,172,0.845191035,1.022805691,0.14596574,1209.47
4/25/2001,12.2125,27.4,169,0.817979076,0.897576227,0.11106661,1228.75
4/26/2001,11.85,25.96,169,0.686454606,0.732135467,0.11106661,1234.52
4/27/2001,11.825,24.02,164,0.677383953,0.509249999,0.052901395,1253.05
4/30/2001,11.8,25.48,163,0.6683133,0.676988547,0.041268352,1249.46
5/1/2001,11.575,24.2,163,0.586677422,0.529930094,0.041268352,1266.44
5/2/2001,11.3875,24.23,162,0.518647524,0.533376777,0.029635309,1267.43
5/3/2001,11.4,25.78,163,0.523182851,0.711455372,0.041268352,1248.58
5/4/2001,11.325,23.91,164,0.495970891,0.496612164,0.052901395,1266.61
5/7/2001,11.4625,24.86,165,0.545859483,0.605757109,0.064534438,1263.51
5/8/2001,11.5,24.44,165,0.559465463,0.557503554,0.064534438,1261.2
5/9/2001,11.55,24.35,165,0.577606769,0.547163507,0.064534438,1255.54
5/10/2001,11.1,24,164,0.414335014,0.506952211,0.052901395,1255.18
5/11/2001,10.6125,23.54,163,0.237457279,0.45410308,0.041268352,1245.67
5/14/2001,10.6,24.26,162,0.232921952,0.536823459,0.029635309,1248.92
5/15/2001,10.6625,23.71,161,0.255598585,0.47363428,0.018002266,1249.44
5/16/2001,10.45,21.89,158,0.178498034,0.264535543,-0.016896863,1284.99
5/17/2001,9.7,21.47,157,-0.093621558,0.216281988,-0.028529907,1288.49
5/18/2001,9.45,21.23,158,-0.184328089,0.188708528,-0.016896863,1291.96
5/21/2001,9.5,20.76,158,-0.166186783,0.134710502,-0.016896863,1312.83
5/22/2001,9.7875,21.35,157,-0.061874273,0.202495258,-0.028529907,1309.38
5/23/2001,11,22.08,157,0.378052401,0.286364532,-0.028529907,1289.05
5/24/2001,10.7375,20.57,157,0.282810544,0.112881513,-0.028529907,1293.17
5/25/2001,10.05,20.6,156,0.033367585,0.116328195,-0.04016295,1277.89
5/29/2001,10.575,22.14,155,0.223851299,0.293257897,-0.051795993,1267.93
5/30/2001,10.4375,22.76,156,0.173962707,0.364489335,-0.04016295,1248.08
5/31/2001,11.2,22.64,154,0.450617626,0.350702605,-0.063429036,1255.82
6/1/2001,11.35,21.59,153,0.505041545,0.230068718,-0.075062079,1260.67
6/4/2001,10.9375,21.38,151,0.355375769,0.20594194,-0.098328165,1267.11
6/5/2001,11.1125,19.58,149,0.41887034,-0.000859009,-0.121594251,1283.57
6/6/2001,10.75,20.39,150,0.287345871,0.092201418,-0.109961208,1270.03
6/7/2001,10.425,19.67,151,0.169427381,0.009481038,-0.098328165,1276.96
6/8/2001,10.1125,19.92,152,0.056044217,0.038203392,-0.086695122,1264.96
6/11/2001,10.425,20.7,153,0.169427381,0.127817137,-0.075062079,1254.39
6/12/2001,10.45,20.7,154,0.178498034,0.127817137,-0.063429036,1255.85
6/13/2001,10.7625,21.45,154,0.291881197,0.213984199,-0.063429036,1241.6
6/14/2001,10.4625,23.12,156,0.18303336,0.405849525,-0.04016295,1219.87
6/15/2001,10.7,22.81,159,0.269204565,0.370233806,-0.00526382,1214.36
6/18/2001,10.6,23.17,161,0.232921952,0.411593996,0.018002266,1208.43
6/19/2001,10.225,22.34,162,0.096862156,0.31623578,0.029635309,1212.58
6/20/2001,10.275,21.71,162,0.115003462,0.243855448,0.029635309,1223.14
6/21/2001,10.25,19.38,161,0.105932809,-0.023836893,0.018002266,1237.04
6/22/2001,9.975,20.02,160,0.006155625,0.049692334,0.006369223,1225.35
6/25/2001,9.9,20.67,160,-0.021056334,0.124370454,0.006369223,1218.6
6/26/2001,9.95,21.2,159,-0.002915028,0.185261845,-0.00526382,1216.76
6/27/2001,10.1,20.88,159,0.051508891,0.148497232,-0.00526382,1211.07
6/28/2001,10.2125,20.01,156,0.09232683,0.04854344,-0.04016295,1226.2
6/29/2001,9.9375,19.06,155,-0.007450354,-0.060601506,-0.051795993,1224.42
7/2/2001,9.8625,18.76,155,-0.034662313,-0.095068331,-0.051795993,1236.71
7/3/2001,9.7875,18.92,155,-0.061874273,-0.076686024,-0.051795993,1234.45
7/5/2001,10.2375,20.09,155,0.101397483,0.057734593,-0.051795993,1219.24
7/6/2001,10.2,21.63,156,0.087791503,0.234664294,-0.04016295,1190.59
7/9/2001,10.2025,22.48,156,0.088698568,0.332320298,-0.04016295,1198.78
7/10/2001,10.15,23.25,157,0.069650197,0.420785149,-0.028529907,1181.52
7/11/2001,10.8,24.01,157,0.305487177,0.508101105,-0.028529907,1180.18
7/12/2001,10.545,22.09,158,0.212966516,0.287513426,-0.016896863,1208.14
7/13/2001,10.0875,21.14,158,0.046973564,0.17836848,-0.016896863,1215.68
7/16/2001,10.2625,22.91,158,0.110468136,0.381722747,-0.016896863,1202.45
7/17/2001,10.1125,22.61,157,0.056044217,0.347255922,-0.028529907,1214.44
7/18/2001,10.8,23.6,155,0.305487177,0.460996445,-0.051795993,1207.71
7/19/2001,10.8375,22.51,153,0.319093157,0.335766981,-0.075062079,1215.02
7/20/2001,10.75,22.34,154,0.287345871,0.31623578,-0.063429036,1210.85
7/23/2001,10.65,23.74,153,0.251063258,0.477080963,-0.075062079,1191.03
7/24/2001,10.65,25.24,153,0.251063258,0.649415088,-0.075062079,1171.65
7/25/2001,10.7125,24,153,0.273739891,0.506952211,-0.075062079,1190.49
7/26/2001,10.55,23.01,153,0.214780646,0.393211689,-0.075062079,1202.93
7/27/2001,10.225,22,152,0.096862156,0.277173378,-0.086695122,1205.82
7/30/2001,10.575,22.69,154,0.223851299,0.356447076,-0.063429036,1204.52
7/31/2001,10.2375,21.62,153,0.101397483,0.2335154,-0.075062079,1211.23
8/1/2001,10.4625,20.56,153,0.18303336,0.111732619,-0.075062079,1215.93
8/2/2001,10.25,20.09,154,0.105932809,0.057734593,-0.063429036,1220.75
8/3/2001,9.9,19.89,154,-0.021056334,0.03475671,-0.063429036,1214.35
8/6/2001,9.8375,21.89,153,-0.043732966,0.264535543,-0.075062079,1200.48
8/7/2001,9.6125,21.01,153,-0.125368844,0.163432856,-0.075062079,1204.4
8/8/2001,9.5375,22.32,154,-0.152580803,0.313937992,-0.063429036,1183.53
8/9/2001,10.45,21.75,154,0.178498034,0.248451024,-0.063429036,1183.43
8/10/2001,10.2375,20.55,156,0.101397483,0.110583725,-0.04016295,1190.16
8/13/2001,10.7375,20.42,156,0.282810544,0.0956481,-0.04016295,1191.29
8/14/2001,10.9875,20.48,156,0.373517075,0.102541465,-0.04016295,1186.73
8/15/2001,12.35,20.91,157,0.867867668,0.151943914,-0.028529907,1178.02
8/16/2001,11.9,21.54,158,0.704595912,0.224324247,-0.016896863,1181.66
8/17/2001,11.175,23.84,159,0.441546973,0.488569905,-0.00526382,1161.97
8/20/2001,11.225,22.87,159,0.459688279,0.377127171,-0.00526382,1171.41
8/21/2001,11.3375,24.4,159,0.500506218,0.552907978,-0.00526382,1157.26
8/22/2001,11.375,22.44,158,0.514112198,0.327724722,-0.016896863,1165.31
8/23/2001,10.825,22.23,157,0.31455783,0.303597944,-0.028529907,1162.09
8/24/2001,10.6,19.71,157,0.232921952,0.014076615,-0.028529907,1184.93
8/27/2001,10.6375,20.56,157,0.246527932,0.111732619,-0.028529907,1179.21
8/28/2001,10.675,22,157,0.260133912,0.277173378,-0.028529907,1161.51
8/29/2001,10.85,23.03,157,0.323628483,0.395509477,-0.028529907,1148.6
8/30/2001,10.7625,25.41,156,0.291881197,0.668946288,-0.04016295,1129.03
8/31/2001,10.95,24.92,159,0.359911095,0.612650474,-0.00526382,1133.58
9/4/2001,11.45,25.85,159,0.541324157,0.719497632,-0.00526382,1132.94
9/5/2001,11.125,26.35,160,0.423405667,0.77694234,0.006369223,1131.74
9/6/2001,10.8125,28.61,162,0.310022503,1.036592421,0.029635309,1106.4
9/7/2001,10.85,30.99,163,0.323628483,1.310029232,0.041268352,1085.78
9/10/2001,11.1,31.84,189,0.414335014,1.407685236,0.343727472,1092.54
9/17/2001,14.625,41.76,188,1.693297097,2,0.332094429,1038.77
9/18/2001,13.925,38.87,188,1.439318811,2,0.332094429,1032.74
9/19/2001,13.925,40.56,190,1.439318811,2,0.355360515,1016.1
9/20/2001,13.575,43.74,192,1.312329668,2,0.378626601,984.54
9/21/2001,13.8,42.66,190,1.393965546,2,0.355360515,965.8
9/24/2001,13.2,37.75,190,1.176269872,2,0.355360515,1003.45
9/25/2001,12.925,35.81,190,1.076492688,1.863796219,0.355360515,1012.27
9/26/2001,11.8,35.26,189,0.6683133,1.80060704,0.343727472,1007.04
9/27/2001,11.6875,34,195,0.627495361,1.655846375,0.41352573,1018.61
9/28/2001,11.0875,31.93,194,0.409799687,1.418025283,0.401892687,1040.94
10/1/2001,11.1625,32.32,191,0.437011646,1.462832156,0.366993558,1038.55
10/2/2001,11.5,31.18,190,0.559465463,1.331858221,0.355360515,1051.33
10/3/2001,11.375,31.34,191,0.514112198,1.350240528,0.366993558,1072.28
10/4/2001,11.1125,31.97,191,0.41887034,1.42262086,0.366993558,1069.63
10/5/2001,10.9125,33.39,191,0.346305116,1.585763831,0.366993558,1071.38
10/8/2001,12.35,35.12,192,0.867867668,1.784522522,0.378626601,1062.44
10/9/2001,10.95,34.83,192,0.359911095,1.751204591,0.378626601,1056.75
10/10/2001,10.2125,31.6,191,0.09232683,1.380111776,0.366993558,1080.99
10/11/2001,10.125,31.5,190,0.060579544,1.368622834,0.355360515,1097.43
10/12/2001,10.525,35.27,189,0.205709993,1.801755934,0.343727472,1091.65
10/15/2001,10.3625,35.31,188,0.146750748,1.806351511,0.332094429,1089.98
10/16/2001,10.175,32.88,188,0.07872085,1.527170229,0.332094429,1097.54
10/17/2001,10.3375,35.08,187,0.137680095,1.779926945,0.320461386,1077.09
10/18/2001,10.0875,34.95,186,0.046973564,1.764991321,0.308828342,1068.61
10/19/2001,9.875,34.11,187,-0.030126987,1.668484211,0.320461386,1073.48
10/22/2001,10.1125,32.25,188,0.056044217,1.454789897,0.332094429,1089.9
10/23/2001,10.2125,32,189,0.09232683,1.426067543,0.343727472,1084.78
10/24/2001,9.7875,30.95,192,-0.061874273,1.305433655,0.378626601,1085.2
10/25/2001,9.725,29.46,193,-0.084550905,1.134248425,0.390259644,1100.09
10/26/2001,9.575,28.42,196,-0.138974824,1.014763432,0.425158773,1104.61
10/29/2001,9.8125,31.64,198,-0.05280362,1.384707353,0.448424859,1078.3
10/30/2001,10.2,33.46,201,0.087791503,1.593806091,0.483323989,1059.79
10/31/2001,9.8,33.56,202,-0.057338946,1.605295032,0.494957032,1059.78
11/1/2001,9.7,32.31,202,-0.093621558,1.461683262,0.494957032,1084.1
11/2/2001,9.3875,30.71,201,-0.207004722,1.277860195,0.483323989,1087.2
11/5/2001,9.3125,30.5,199,-0.234216681,1.253733418,0.460057902,1102.84
11/6/2001,9.4875,28.8,197,-0.17072211,1.05842141,0.436791816,1118.86
11/7/2001,9.2375,29.13,195,-0.26142864,1.096334917,0.41352573,1115.8
11/8/2001,9.45,28.62,196,-0.184328089,1.037741315,0.425158773,1118.54
11/9/2001,9.1,27.44,196,-0.311317232,0.902171804,0.425158773,1120.31
11/12/2001,9.4875,29.35,193,-0.17072211,1.121610589,0.390259644,1118.33
11/13/2001,9.4625,26.47,189,-0.179792763,0.79072907,0.343727472,1139.09
11/14/2001,9.525,26.56,187,-0.15711613,0.801069117,0.320461386,1141.21
11/15/2001,9.2625,25.56,184,-0.252357987,0.686179701,0.285562256,1142.24
11/16/2001,9.15,25.07,183,-0.293175926,0.629883887,0.273929213,1138.65
11/19/2001,9.75,24.46,182,-0.075480252,0.559801343,0.26229617,1151.06
11/20/2001,9.6,24.12,180,-0.129904171,0.520738941,0.239030084,1142.66
11/21/2001,9.5375,24.19,179,-0.152580803,0.5287812,0.227397041,1137.03
11/23/2001,9.725,23.25,176,-0.084550905,0.420785149,0.192497912,1150.34
11/26/2001,9.85,23.79,175,-0.03919764,0.482825434,0.180864869,1157.42
11/27/2001,9.525,24,177,-0.15711613,0.506952211,0.204130955,1149.5
11/28/2001,9.725,25.9,177,-0.084550905,0.725242102,0.204130955,1128.52
11/29/2001,9.875,25.18,178,-0.030126987,0.642521723,0.215763998,1140.2
11/30/2001,9.475,23.84,183,-0.175257436,0.488569905,0.273929213,1139.45
12/3/2001,9.375,25.77,183,-0.211540048,0.710306478,0.273929213,1129.9
12/4/2001,9.425,24.08,180,-0.193398742,0.516143364,0.239030084,1144.8
12/5/2001,9.225,23.02,175,-0.265963967,0.394360583,0.180864869,1170.35
12/6/2001,9.2,23.71,174,-0.27503462,0.47363428,0.169231826,1167.1
12/7/2001,9.25,23.49,177,-0.256893314,0.448358609,0.204130955,1158.31
12/10/2001,9.525,25.62,177,-0.15711613,0.693073066,0.204130955,1139.93
12/11/2001,9.3,25.3,179,-0.238752008,0.656308453,0.227397041,1136.76
12/12/2001,9.125,24.87,179,-0.302246579,0.606906003,0.227397041,1137.07
12/13/2001,9.05,25.91,184,-0.329458538,0.726390997,0.285562256,1119.38
12/14/2001,9.4625,24.63,185,-0.179792763,0.579332544,0.297195299,1123.09
12/17/2001,10.0125,24.26,183,0.019761605,0.536823459,0.273929213,1134.36
12/18/2001,9.775,23.29,183,-0.066409599,0.425380725,0.273929213,1142.92
12/19/2001,9.7,22.58,182,-0.093621558,0.34380924,0.26229617,1149.56
